"Especie","longitude","latitude"
"MA_Alouatta_belzebul",-35.147823,-6.305896
"MA_Alouatta_belzebul",-34.925678,-7.02955
"MA_Alouatta_belzebul",-35.134062,-6.386099
"MA_Alouatta_belzebul",-34.994733,-6.931528
"MA_Alouatta_belzebul",-34.88151,-7.030912
"MA_Alouatta_belzebul",-34.977521,-7.15451
"MA_Alouatta_belzebul",-35.027865,-6.376376
"MA_Alouatta_belzebul",-34.876974,-7.138911
"MA_Alouatta_belzebul",-34.842244,-7.182931
"MA_Alouatta_belzebul",-35.143067,-7.178229
"MA_Alouatta_belzebul",-35.093063,-7.192625
"MA_Alouatta_belzebul",-35.083774,-7.011553
"MA_Alouatta_belzebul",-34.909704,-6.837331
"MA_Alouatta_belzebul",-35.0111,-7.054802
"MA_Alouatta_belzebul",-35.197187,-7.161807
"MA_Alouatta_belzebul",-35.164521,-7.062332
"MA_Alouatta_belzebul",-35.005137,-7.164464
"MA_Alouatta_belzebul",-35.002194,-7.16553
"MA_Alouatta_belzebul",-34.924354,-7.015258
"MA_Alouatta_belzebul",-35.158889,-7.053056
"MA_Alouatta_belzebul",-35.158889,-7.053056
"MA_Alouatta_belzebul",-35.052117,-7.019156
"MA_Alouatta_belzebul",-34.989564,-7.018489
"MA_Alouatta_belzebul",-35.157235,-7.04007
"MA_Alouatta_belzebul",-35.157235,-7.04007
"MA_Alouatta_belzebul",-36.04857744,-9.91505553
"MA_Alouatta_belzebul",-35.0224,-6.47497
"MA_Alouatta_belzebul",-36.29533333,-10.00791666
"MA_Alouatta_belzebul",-34.921333,-6.994111
"MA_Alouatta_belzebul",-35.833333,-9.25
"MA_Alouatta_belzebul",-35.011669,-6.506497
"MA_Alouatta_belzebul",-36.133333,-9.916667
"MA_Alouatta_belzebul",-35.0985,-7.25535
"MA_Alouatta_belzebul",-35.93333333,-9.31666666
"MA_Alouatta_belzebul",-35.157235,-7.04007
"MA_Alouatta_belzebul",-35.403917,-8.712667
"MA_Alouatta_belzebul",-35.1339,-7.36753
"MA_Alouatta_belzebul",-36.22758333,-10.01591666
"MA_Alouatta_belzebul",-35.058153,-7.079427
"MA_Alouatta_belzebul",-35.1052,-7.20761
"MA_Alouatta_belzebul",-35.02219856,-7.15277578
"MA_Alouatta_belzebul",-35.08105682,-7.01661664
"MA_Alouatta_belzebul",-35.03933056,-6.31838055
"MA_Alouatta_belzebul",-35.40391666,-8.71266666
"MA_Alouatta_belzebul",-34.981897,-6.430662
"MA_Alouatta_belzebul",-35.079103,-6.930708
"MA_Alouatta_belzebul",-35.13313441,-7.04428125
"MA_Alouatta_belzebul",-35.0747,-6.4105
"MA_Alouatta_belzebul",-35.16556,-7.04687
"MA_Alouatta_belzebul",-35.157235,-7.04007
"MA_Alouatta_belzebul",-35.17344276,-6.72652179
"MA_Alouatta_belzebul",-36.18222222,-10.03508333
"MA_Alouatta_belzebul",-35.157235,-7.04007
"MA_Alouatta_belzebul",-35.08823877,-7.19281279
"MA_Alouatta_belzebul",-35.85961111,-9.207022222
"MA_Alouatta_belzebul",-34.97824444,-6.49746666
"MA_Alouatta_belzebul",-35.021573,-6.487743
"MA_Alouatta_belzebul",-36.13333333,-9.91666666
"MA_Alouatta_belzebul",-35.097811,-7.098761
"MA_Alouatta_belzebul",-35.08105682,-7.01661664
"MA_Alouatta_belzebul",-35.86097,-9.59738
"MA_Alouatta_belzebul",-35.157235,-7.04007
"MA_Alouatta_belzebul",-35.982167,-9.516778
"MA_Alouatta_belzebul",-35.10002556,-6.878569492
"MA_Alouatta_belzebul",-35.15443167,-7.04284185
"MA_Alouatta_belzebul",-34.979611,-6.437222
"MA_Alouatta_belzebul",-35.010047,-7.023644
"MA_Alouatta_belzebul",-35.157235,-7.04007
"MA_Alouatta_belzebul",-35.403861,-8.712924
"MA_Alouatta_belzebul",-35.073957,-6.960048
"MA_Alouatta_belzebul",-35.084583,-6.646611
"MA_Alouatta_belzebul",-34.95482825,-7.01435336
"MA_Alouatta_belzebul",-34.98736282,-7.0865581
"MA_Alouatta_belzebul",-34.936114,-7.005665
"MA_Alouatta_belzebul",-35.017695,-6.473944
"MA_Alouatta_belzebul",-35.137244,-6.984608
"MA_Alouatta_belzebul",-35.18213548,-6.7256411
"MA_Alouatta_belzebul",-35.09875074,-7.18553205
"MA_Alouatta_belzebul",-35.836361,-9.262611
"MA_Alouatta_belzebul",-35.0991333,-6.97283112
"MA_Alouatta_belzebul",-35.04426768,-7.15965781
"MA_Alouatta_belzebul",-35.149058,-7.065944
"MA_Alouatta_belzebul",-35.041932,-6.493122
